Movie Names,Ratings
1.      Jai Bhim(2021),8.4
2.      Anbe Sivam(2003),8.4
3.      Golmaal(1979),8.4
4.      K.G.F: Chapter 2(2022),8.4
5.      Nayakan(1987),8.4
6.      Pariyerum Perumal(2018),8.4
7.      Apur Sansar(1959),8.4
8.      3 Idiots(2009),8.3
9.      Manichitrathazhu(1993),8.3
10.      Black Friday(2004),8.3
11.      Kumbalangi Nights(2019),8.3
12.      Taare Zameen Par(2007),8.3
13.      C/o Kancharapalem(2018),8.3
14.      Dangal(2016),8.3
15.      #Home(2021),8.3
16.      Kireedam(1989),8.3
17.      Soorarai Pottru(2020),8.3
18.      Jersey(2019),8.3
19.      Pather Panchali(1955),8.3
20.      Kaithi(2019),8.2
21.      Thevar Magan(1992),8.2
22.      Asuran(2019),8.2
23.      Visaaranai(2015),8.2
24.      96(2018),8.2
25.      Thalapathi(1991),8.2
26.      Natsamrat(2016),8.2
27.      Sardar Udham(2021),8.2
28.      Sarpatta Parambarai(2021),8.2
29.      Drishyam 2(2021),8.2
30.      Aparajito(1956),8.2
31.      Thani Oruvan(2015),8.2
32.      Jaane Bhi Do Yaaro(1983),8.2
33.      Vada Chennai(2018),8.2
34.      Khosla Ka Ghosla!(2006),8.2
35.      Chupke Chupke(1975),8.1
36.      Peranbu(2018),8.1
37.      Drishyam(2013),8.1
38.      Agent Sai Srinivasa Athreya(2019),8.1
39.      Anniyan(2005),8.1
40.      Mahanati(2018),8.1
41.      Satya(1998),8.1
42.      Bangalore Days(2014),8.1
43.      Super Deluxe(2019),8.1
44.      Ratsasan(2018),8.1
45.      Premam(2015),8.1
46.      Aruvi(2016),8.1
47.      Devasuram(1993),8.1
48.      Bhaag Milkha Bhaag(2013),8.1
49.      Gangs of Wasseypur(2012),8.1
50.      Kannathil Muthamittal(2002),8.1
51.      Andhadhun(2018),8.1
52.      Guide(1965),8.1
53.      Drishyam(2015),8.1
54.      Iruvar(1997),8.1
55.      Chithram(1988),8.1
56.      Shahid(2012),8.1
57.      Paan Singh Tomar(2012),8.1
58.      Vikram Vedha(2017),8.1
59.      Zindagi Na Milegi Dobara(2011),8.1
60.      Sairat(2016),8.1
61.      Tumbbad(2018),8.1
62.      Mudhalvan(1999),8.1
63.      Spadikam(1995),8.1
64.      Black(2005),8.1
65.      Dhuruvangal Pathinaaru(2016),8.1
66.      Jo Jeeta Wohi Sikandar(1992),8.1
"67.      Swades: We, the People(2004)",8.1
68.      Chak De! India(2007),8.1
69.      Chhichhore(2019),8.1
70.      Pudhu Pettai(2006),8.1
71.      Soodhu Kavvum(2013),8.1
72.      Article 15(2019),8.1
73.      Papanasam(2015),8.1
74.      Pyaasa(1957),8.1
75.      Queen(2013),8.1
76.      PK(2014),8.1
77.      Talvar(2015),8.0
78.      Munna Bhai M.B.B.S.(2003),8.0
79.      OMG: Oh My God!(2012),8.0
80.      Kaakkaa Muttai(2014),8.0
81.      Mandela(2021),8.0
82.      Uri: The Surgical Strike(2019),8.0
83.      Lagaan: Once Upon a Time in India(2001),8.0
84.      Sarfarosh(1999),8.0
85.      Jigarthanda(2014),8.0
86.      Udaan(2010),8.0
87.      Barfi!(2012),8.0
88.      Sholay(1975),8.0
89.      Ustad Hotel(2012),8.0
90.      Theeran Adhigaaram Ondru(2017),8.0
91.      The Legend of Bhagat Singh(2002),8.0
92.      Angoor(1982),8.0
93.      Hera Pheri(2000),8.0
94.      Rang De Basanti(2006),8.0
95.      RRR (Rise Roar Revolt)(2022),8.0
96.      Baasha(1995),8.0
97.      Masaan(2015),8.0
98.      Dil Chahta Hai(2001),8.0
