NAME,CUISINE,ADDRESS,RATING,IMAGE
SKYE at Eternia RoofTop,"North Indian, Italian, Chinese, Continental","ICC Trade Tower,Senapati Bapat Road, West Pune",4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/b/i/p3770-1645176923620f685b1518f.jpg?tr=tr:n-medium
Maharaja Bhog,"Gujarati, Rajasthani","The Pavillion Mall,Shivaji Nagar, West Pune",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/u/s/p53405-15518587575c7f7c45d7aba.jpg?tr=tr:n-medium
FC Road Social,"Chinese, North Indian, Italian, Fast Food","F.C. Road, West Pune",4.2,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/o/j/p51095-15731251975dc3fc4d20507.jpg?tr=tr:n-medium
Agent Jack's Bar,"North Indian, Chinese, Continental","ICC Trade Tower,Senapati Bapat Road, West Pune",4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/b/f/p20236-1645174524620f5efc8c18a.jpg?tr=tr:n-medium
Little Italy,"Italian, Pizza, Beverages, Mexican","Shivaji Nagar, West Pune",4.2,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/o/c/p3768-14634057075739cc8b3530b.jpg?tr=tr:n-medium
TTF - The Tenth Floor,"North Indian, Continental, Asian, Fast Food","Deron Heights,Baner, West Pune",3.7,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/i/p67561-15700843565d95960467af7.jpg?tr=tr:n-medium
Barbeque Nation,"North Indian, Chinese","R Deccan Mall,Deccan Gymkhana, West Pune",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/z/p537-15448631925c14bdd8222e8.jpg?tr=tr:n-medium
Tales & Spirits,"Italian, European","Senapati Bapat Road, West Pune",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/f/t/p6601-1648205568623d9f00417a6.jpg?tr=tr:n-medium
Mainland China,"Chinese, Tibetan, Asian, Thai","Pyramid Mall,Senapati Bapat Road, West Pune",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/s/i/p526-15483301195c49a48720d7e.jpg?tr=tr:n-medium
Spice Factory,"Finger Food, North Indian, Continental, Italian","White Square Building,Hinjewadi, West Pune",4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/v/z/p40418-15537770015c9cc169cd2ab.jpg?tr=tr:n-medium
Dhaba Estd 1986 Delhi Pune,"North Indian, Biryani, Desserts","The Pavillion Mall,Shivaji Nagar, West Pune",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/q/x/p40592-15305966465b3b0d264c137.jpg?tr=tr:n-medium
FML - Food Music Love,"Chinese, North Indian, Continental","Mulik Capital,Kalyani Nagar, East Pune",3.7,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/n/y/p38122-1645175176620f6188521f0.jpg?tr=tr:n-medium
TGI Friday's,"Mexican, American, Italian","The Pavillion Mall,Shivaji Nagar, West Pune",4.2,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/q/x/p34656-15305999325b3b19fc215f2.jpg?tr=tr:n-medium
Talli,"North Indian, Chinese, Fast Food","Baner, West Pune",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/v/e/p86881-16149299296041e009c02d0.jpg?tr=tr:n-medium
Thikana,"North Indian, Chinese, Italian","F.C. Road, West Pune",3.9,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/u/s/p41752-15257662905af15892a669f.jpg?tr=tr:n-medium
Culture Pune,"North Indian, Italian, Continental, Finger Food","F.C. Road, West Pune",4.2,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/v/g/p39311-1644647148620752ec652d2.jpg?tr=tr:n-medium
Cafe Delhi Heights,"Continental, North Indian, Beverages, Chinese, Italian","The Pavillion Mall,Shivaji Nagar, West Pune",4.4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/o/x/p48564-164277232061eab760e3734.jpg?tr=tr:n-medium
Sukhi Da Dhaba,"1,  North Indian, Italian","Wakad, West Pune",3.7,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/f/i/p93121-163791927861a0aa2e8da36.jpg?tr=tr:n-medium
Madeline,"Beverages, Desserts, Fast Food","Shivaji Nagar, West Pune",4.6,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/6/y/n/p6318-164156384961d846c9db522.jpg?tr=tr:n-medium
The Poppa Cafe,"400 for 2 (approx)  Fast Food, Italian, Finger Food","Senapati Bapat Road, West Pune",4,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/p/h/p58800-15786376665e1819627d818.jpg?tr=tr:n-medium
द Vege टेबल,"Italian, Continental, North Indian","Deccan Gymkhana, West Pune",4.3,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/4/v/a/p41155-15589466525ceba35cc9758.jpg?tr=tr:n-medium
